ID	ENGLISH	Kusunda	Comments1	Gyani Maiya	Comments2	Kamala	Comments3
223	the tooth (front)	u.hu		u.huː		u.ɦuː	~ uː < TB s-wa?
224	the tree	ji	may be < i.jiː	jiː		i.jiː	~ jiː?
225	twenty	bis	< NEP	biːs	< NEPबीसbīs ‘twenty’	biːs	< NEPबीसbīs ‘twenty’; kaːq ‘poison’
226	two	du.kʰu		d̪u.kʰuː		d̪u.kʰɔː	
227	to vomit	∅	concept does not exist or don’t remember?	∅		∅	
228	to walk	∅	no consensus	hun.t̪ɔː	hun.tɔː; hun.tu = far;	bi.bi.t̪ɔː	
229	the water	tɐŋ	#NAME?	t̪ɐŋ		t̪ɐŋ	
230	we [first person plural inclusive]	tok		t̪ɔk		t̪ɔk	
231	wet	ʣʰok		ʣɔk.ʣiː		ʤʰɔk ɐ.gɔː	~ ʤʰɔk.ʤiː, also ‘soak’
232	what	nɐ.t̪.n		nɐ.t̪.n	‘what, why’; nɐn = what it is?	nɐn	contraction of nɐ.t.n
233	the wheat	kʰɐ.ru.gu.hi		kʰɐ.ru.guj		kʰɔ.ru.guj	~ kʰɐ.ruj
234	where	hɐm.pe		hɐm.peː		hɐm.peː	
235	white	ka.si		kaː.si.giː		kaː.siː	
236	who	nə.ti		nə.t̪iː		nə.t̪iː	niː gi.ʤiː nə.tiː? niː gi.ʤiː nən? What is your name? nuː unmarked niː possessive. ʧiː gi.ʤiː ka.ma.laː. 2sg poss nɔn.da 2pl. poss nɔk.d̪a 1sg obj ʧi.d̪a, 1pl obj tɔk.d̪a. niː 2plural possessive. ti.giː our
237	the wife	neŋ.ɐ.di		nʲɛŋ.diː	contraction from neŋ.ɐ.diː < nʲɛŋ.ɐ.diː < nʲɛŋ.diː	nʲɛː.ɐ.d̪iː	contraction from neŋ.ɐ.diː < nʲɛŋ.ɐ.diː
238	the wind	qɐj		qɐj		qɐj	
239	the wing	ɐ.hun	#NAME?	ɐ.hun		ɐ.ɦun	#NAME?
240	to wipe	∅	no consensus	mut̪ aː.gɔː		leː ɐ.gɔː	
241	the wolf	∅	concept does not exist, cf. FOX	gi.lɐŋ aː.gəj	#NAME?	∅	gi.ʃiː ‘trap’
242	the woman	neŋ.ɐ.di gə.ʦe	#NAME?	nʲɛŋ.d̪i gə.ʦeː	contraction from neŋ.ɐ.diː < nʲɛŋ.ɐ.diː < nʲɛŋ.diː (+ gə.ʦeː)	nʲɛː.d̪i.ʤiː	~ nʲɛː.di gi.ʧi, contraction from < nʲɛ.ɐ.d̪i gi.ʧiː
243	the wood (material)	∅	specific concept does not exist? Either TREE or FIREWOOD?	gu.bʲɛn	‘wood as material’, but from Uday/Gorkha?; dɐ.ʣiː ‘firewood’	d̪əj.ʤiː	#ERROR!
244	to sow (broadcast, scatter seeds)	∅	concept does not exist	∅		∅	
245	the year	bɐr.saː	< NEPबर्षbarṣa ‘year’	bɐr.saː	< NEPबर्षbarṣa ‘year’	bɐr.saː	< NEPबर्षbarṣa ‘year’ hɐm.ʦɐj ‘last, previous, former’; təj.naː bɐr.saː ‘this year’; pʲaːji bɐr.saː ‘last year’
246	yellow	∅	descriptive terms, no consensus	kɐ.pɐŋ bəj.jɔː	< kɐ.pɐŋ ‘turmeric’	qʰɐ.jɛm bʰɔ.jɔː	~ qaː.əm bʰɐ.juː ~ qa.əm bɔ.ju
247	yesterday	pe		pʲɛː.niː		pʲɛː.naː	
248	you [second person plural]	nɔk		nɔk		nɔk	
249	young	ma.ɢa.ʦʰe		mɐkʰ.ʦʰeː	(adj); u.sin.di ~ u.sin.ti = girl	maː.a̰.ʧʰeː	#ERROR!
250	the shit	jeŋ		jɛŋ	ɐn = pee	jɛŋ	
